"","Province.State","SNo","ObservationDate","Country.Region","Last.Update","Confirmed","Deaths","Recovered","lat","lng"
"191","Chongqing",15328,"04/15/2020","China","2020-04-15 23:04:26",579,6,570,29.4316,106.9123
"192","Chongqing",11177,"04/02/2020","China","4/2/20 8:53",579,6,570,29.4316,106.9123
"193","Chongqing",3,"01/22/2020","China","1/22/2020 17:00",6,0,0,29.4316,106.9123
"194","Chongqing",12765,"04/07/2020","China","2020-04-07 23:11:31",579,6,570,29.4316,106.9123
"195","Chongqing",12445,"04/06/2020","China","4/6/20 9:37",579,6,570,29.4316,106.9123
"196","Chongqing",1059,"02/09/2020","China","2020-02-09T23:53:02",468,2,51,29.4316,106.9123
"197","Chongqing",11492,"04/03/2020","China","2020-04-03 22:52:45",579,6,570,29.4316,106.9123
"198","Chongqing",4264,"03/09/2020","China","2020-03-09T23:13:03",576,6,542,29.4316,106.9123
"199","Chongqing",9613,"03/28/2020","China","3/8/20 5:31",578,6,570,29.4316,106.9123
"200","Chongqing",1876,"02/20/2020","China","2020-02-20T23:13:05",567,6,299,29.4316,106.9123
"201","Chongqing",2832,"03/01/2020","China","2020-03-01T23:13:08",576,6,450,29.4316,106.9123
"202","Chongqing",1649,"02/17/2020","China","2020-02-17T23:13:06",553,5,225,29.4316,106.9123
"203","Chongqing",13085,"04/08/2020","China","2020-04-08 22:59:00",579,6,570,29.4316,106.9123
"204","Chongqing",12125,"04/05/2020","China","2020-04-05 23:13:44",579,6,570,29.4316,106.9123
"205","Chongqing",3409,"03/05/2020","China","2020-03-05T23:23:02",576,6,512,29.4316,106.9123
"206","Chongqing",326,"01/29/2020","China","1/29/20 19:30",147,0,1,29.4316,106.9123
"207","Chongqing",41,"01/23/2020","China","1/23/20 17:00",9,0,0,29.4316,106.9123
"208","Chongqing",13405,"04/09/2020","China","2020-04-09 23:09:19",579,6,570,29.4316,106.9123
"209","Chongqing",15648,"04/16/2020","China","2020-04-16 23:38:19",579,6,570,29.4316,106.9123
"210","Chongqing",568,"02/02/2020","China","2020-02-02T23:33:02",300,2,7,29.4316,106.9123
"211","Chongqing",1574,"02/16/2020","China","2020-02-16T23:53:01",551,5,207,29.4316,106.9123
"212","Chongqing",16928,"04/20/2020","China","2020-04-20 23:44:50",579,6,570,29.4316,106.9123
"213","Chongqing",15008,"04/14/2020","China","2020-04-14 23:41:11",579,6,570,29.4316,106.9123
"214","Chongqing",3249,"03/04/2020","China","2020-03-04T23:23:01",576,6,502,29.4316,106.9123
"215","Chongqing",2122,"02/23/2020","China","2020-02-23T23:13:05",575,6,335,29.4316,106.9123
"216","Chongqing",14047,"04/11/2020","China","2020-04-11 22:52:46",579,6,570,29.4316,106.9123
"217","Chongqing",7795,"03/22/2020","China","3/8/20 5:31",577,6,570,29.4316,106.9123
"218","Chongqing",129,"01/25/2020","China","1/25/20 17:00",57,0,0,29.4316,106.9123
"219","Chongqing",2957,"03/02/2020","China","2020-03-02T23:23:02",576,6,469,29.4316,106.9123
"220","Chongqing",174,"01/26/2020","China","1/26/20 16:00",75,0,0,29.4316,106.9123
"221","Chongqing",380,"01/30/2020","China","1/30/20 16:00",182,0,1,29.4316,106.9123
"222","Chongqing",1499,"02/15/2020","China","2020-02-15T23:23:07",544,5,184,29.4316,106.9123
"223","Chongqing",3584,"03/06/2020","China","2020-03-06T11:03:10",576,6,513,29.4316,106.9123
"224","Chongqing",221,"01/27/2020","China","1/27/20 23:59",110,0,0,29.4316,106.9123
"225","Chongqing",13726,"04/10/2020","China","2020-04-10 23:01:43",579,6,570,29.4316,106.9123
"226","Chongqing",3783,"03/07/2020","China","2020-03-07T23:23:02",576,6,526,29.4316,106.9123
"227","Chongqing",5918,"03/16/2020","China","2020-03-15T03:53:04",576,6,570,29.4316,106.9123
"228","Chongqing",11807,"04/04/2020","China","4/4/20 9:38",579,6,570,29.4316,106.9123
"229","Chongqing",4739,"03/11/2020","China","2020-03-11T23:13:05",576,6,554,29.4316,106.9123
"230","Chongqing",16288,"04/18/2020","China","2020-04-18 22:40:18",579,6,570,29.4316,106.9123
"231","Chongqing",7051,"03/20/2020","China","2020-03-15T03:53:04",576,6,570,29.4316,106.9123
"232","Chongqing",6192,"03/17/2020","China","2020-03-15T03:53:04",576,6,570,29.4316,106.9123
"233","Chongqing",773,"02/05/2020","China","2020-02-05T23:43:02",389,2,15,29.4316,106.9123
"234","Chongqing",16608,"04/19/2020","China","2020-04-19 23:49:05",579,6,570,29.4316,106.9123
"235","Chongqing",8093,"03/23/2020","China","2020-03-23 23:23:20",577,6,570,29.4316,106.9123
"236","Chongqing",6468,"03/18/2020","China","2020-03-15T03:53:04",576,6,570,29.4316,106.9123
"237","Chongqing",2297,"02/25/2020","China","2020-02-25T23:23:03",576,6,372,29.4316,106.9123
"238","Chongqing",14688,"04/13/2020","China","2020-04-13 23:15:42",579,6,570,29.4316,106.9123
"239","Chongqing",2713,"02/29/2020","China","2020-02-29T23:13:06",576,6,438,29.4316,106.9123
"240","Chongqing",15968,"04/17/2020","China","2020-04-17 23:38:48",579,6,570,29.4316,106.9123
"241","Chongqing",6757,"03/19/2020","China","2020-03-15T03:53:04",576,6,570,29.4316,106.9123
"242","Chongqing",1350,"02/13/2020","China","2020-02-13T23:23:05",529,4,128,29.4316,106.9123
"243","Chongqing",703,"02/04/2020","China","2020-02-04T23:43:01",366,2,9,29.4316,106.9123
"244","Chongqing",9924,"03/29/2020","China","3/8/20 5:31",579,6,570,29.4316,106.9123
"245","Chongqing",2493,"02/27/2020","China","2020-02-27T23:23:02",576,6,401,29.4316,106.9123
"246","Chongqing",2207,"02/24/2020","China","2020-02-24T23:23:01",576,6,349,29.4316,106.9123
"247","Chongqing",14368,"04/12/2020","China","2020-04-12 23:25:00",579,6,570,29.4316,106.9123
"248","Chongqing",10236,"03/30/2020","China","3/8/20 5:31",579,6,570,29.4316,106.9123
"249","Chongqing",4957,"03/12/2020","China","2020-03-12T23:44:32",576,6,564,29.4316,106.9123
"250","Chongqing",2037,"02/22/2020","China","2020-02-22T23:23:05",573,6,328,29.4316,106.9123
"251","Chongqing",1277,"02/12/2020","China","2020-02-12T23:13:08",518,3,102,29.4316,106.9123
"252","Chongqing",9303,"03/27/2020","China","2020-03-27 23:27:48",578,6,570,29.4316,106.9123
"253","Chongqing",844,"02/06/2020","China","2020-02-06T23:33:02",411,2,24,29.4316,106.9123
"254","Chongqing",1953,"02/21/2020","China","2020-02-21T23:13:14",572,6,316,29.4316,106.9123
"255","Chongqing",8390,"03/24/2020","China","2020-03-24 23:41:50",578,6,570,29.4316,106.9123
"256","Chongqing",8692,"03/25/2020","China","2020-03-25 23:37:49",578,6,570,29.4316,106.9123
"257","Chongqing",10862,"04/01/2020","China","2020-04-01 22:04:58",579,6,570,29.4316,106.9123
"258","Chongqing",10549,"03/31/2020","China","2020-03-31 23:49:27",579,6,570,29.4316,106.9123
"259","Chongqing",1424,"02/14/2020","China","2020-02-14T23:33:02",537,5,152,29.4316,106.9123
"260","Chongqing",7357,"03/21/2020","China","2020-03-15T03:53:04",576,6,570,29.4316,106.9123
"261","Chongqing",2598,"02/28/2020","China","2020-02-28T23:23:03",576,6,422,29.4316,106.9123
"262","Chongqing",988,"02/08/2020","China","2020-02-08T11:03:15",428,2,39,29.4316,106.9123
"263","Chongqing",1204,"02/11/2020","China","2020-02-11T23:53:02",505,3,79,29.4316,106.9123
"264","Chongqing",5660,"03/15/2020","China","2020-03-15T03:53:04",576,6,570,29.4316,106.9123
"265","Chongqing",1132,"02/10/2020","China","2020-02-10T23:43:02",486,2,66,29.4316,106.9123
"266","Chongqing",2391,"02/26/2020","China","2020-02-26T23:43:02",576,6,384,29.4316,106.9123
"267","Chongqing",439,"01/31/2020","China","1/31/2020 23:59",211,0,1,29.4316,106.9123
"268","Chongqing",1724,"02/18/2020","China","2020-02-18T23:23:03",555,5,254,29.4316,106.9123
"269","Chongqing",501,"02/01/2020","China","2/1/2020 8:43",247,1,3,29.4316,106.9123
"270","Chongqing",4009,"03/08/2020","China","2020-03-08T23:23:03",576,6,527,29.4316,106.9123
"271","Fujian",4017,"03/08/2020","China","2020-03-07T13:03:05",296,1,295,26.4837,117.9249
"272","Fujian",6484,"03/18/2020","China","2020-03-11T02:18:14",296,1,295,26.4837,117.9249
"273","Fujian",16940,"04/20/2020","China","2020-04-20 23:44:50",355,1,339,26.4837,117.9249
"274","Fujian",6205,"03/17/2020","China","2020-03-11T02:18:14",296,1,295,26.4837,117.9249
"275","Fujian",2398,"02/26/2020","China","2020-02-26T10:33:02",294,1,218,26.4837,117.9249
"276","Fujian",2499,"02/27/2020","China","2020-02-27T10:03:07",296,1,228,26.4837,117.9249
"277","Fujian",11189,"04/02/2020","China","4/2/20 8:53",345,1,299,26.4837,117.9249
"278","Fujian",6779,"03/19/2020","China","2020-03-11T02:18:14",296,1,295,26.4837,117.9249
